id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5253,OPGT,medium_airport,"Gilgit Airport",35.918800354003906,74.33360290527344,4796,AS,PK,PK-NA,Gilgit,1,OPGT,GIL,,,https://en.wikipedia.org/wiki/Gilgit_Airport,,800,2008-09-01T20:47:38+00:00
32124,OPMS,medium_airport,"Minhas Air Base",33.8690986633,72.4009017944,1023,AS,PK,PK-PB,Kamra,0,OPMS,ATG,,,https://en.wikipedia.org/wiki/Minhas_Airbase,Attock,50,2014-07-05T21:34:50+00:00
32125,OPRQ,medium_airport,"Rafiqui Air Base",30.758100509643555,72.28250122070312,492,AS,PK,PK-PB,Shorkot,0,OPRQ,,,,https://en.wikipedia.org/wiki/Rafiqui_Airbase,,50,2009-02-20T09:22:25+00:00
5252,OPGD,medium_airport,"Gwadar International Airport",25.233299255371094,62.329498291015625,36,AS,PK,PK-BA,Gwadar,1,OPGD,GWD,,,https://en.wikipedia.org/wiki/Gwadar_International_Airport,,825,2008-09-01T20:47:38+00:00
5249,OPDG,medium_airport,"Dera Ghazi Khan Airport",29.961000442504883,70.48590087890625,492,AS,PK,PK-PB,"Dera Ghazi Khan",1,OPDG,DEA,,,https://en.wikipedia.org/wiki/Dera_Ghazi_Khan_Airport,,800,2008-09-01T20:47:35+00:00
5277,OPSD,medium_airport,"Skardu Airport",35.33549880981445,75.53600311279297,7316,AS,PK,PK-NA,Skardu,1,OPSD,KDU,,,https://en.wikipedia.org/wiki/Skardu_Airport,,800,2008-09-01T20:48:27+00:00
5283,OPTU,medium_airport,"Turbat International Airport",25.986400604248047,63.03020095825195,498,AS,PK,PK-BA,Turbat,1,OPTU,TUK,,,https://en.wikipedia.org/wiki/Turbat_Airport,,800,2008-09-01T20:48:43+00:00
5265,OPNH,medium_airport,"Shaheed Benazirabad Airport",26.2194,68.390099,95,AS,PK,PK-SD,Nawabashah,1,OPNH,WNS,,,https://en.wikipedia.org/wiki/Nawabshah_Airport,,575,2016-09-05T02:52:16+00:00
5254,OPJA,medium_airport,"Shahbaz Air Base",28.28420066833496,68.44969940185547,185,AS,PK,PK-SD,Jacobabad,0,OPJA,JAG,,,https://en.wikipedia.org/wiki/Jacobabad_Airbase,,500,2008-09-01T20:47:39+00:00
32129,OPOR,small_airport,"Ormara Airport",25.274700164799995,64.58599853519999,10,AS,PK,PK-BA,"Ormara Raik",1,OPOR,ORW,,,https://en.wikipedia.org/wiki/Ormara_Airport,OPOP,350,2011-10-09T10:23:44+00:00
